@relation class
@attribute h7_dst_bytes real
@attribute h7_dst_flow real
@attribute h7_dst_pkt real
@attribute h7_src_bytes real
@attribute h7_src_flow real
@attribute h7_src_pkt real
@attribute h8_dst_bytes real
@attribute h8_dst_flow real
@attribute h8_dst_pkt real
@attribute h8_src_bytes real
@attribute h8_src_flow real
@attribute h8_src_pkt real
@attribute h9_dst_bytes real
@attribute h9_dst_flow real
@attribute h9_dst_pkt real
@attribute h9_src_bytes real
@attribute h9_src_flow real
@attribute h9_src_pkt real
@attribute h_s_4_dst_bytes real
@attribute h_s_4_dst_flow real
@attribute h_s_4_dst_pkt real
@attribute h_s_4_src_bytes real
@attribute h_s_4_src_flow real
@attribute h_s_4_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_h7_rx_bytes real
@attribute port_h7_rx_crc_err real
@attribute port_h7_rx_drop real
@attribute port_h7_rx_error real
@attribute port_h7_rx_frame_err real
@attribute port_h7_rx_over_err real
@attribute port_h7_rx_pkt real
@attribute port_h7_tx_bytes real
@attribute port_h7_tx_drop real
@attribute port_h7_tx_error real
@attribute port_h7_tx_pkt real
@attribute port_h8_rx_bytes real
@attribute port_h8_rx_crc_err real
@attribute port_h8_rx_drop real
@attribute port_h8_rx_error real
@attribute port_h8_rx_frame_err real
@attribute port_h8_rx_over_err real
@attribute port_h8_rx_pkt real
@attribute port_h8_tx_bytes real
@attribute port_h8_tx_drop real
@attribute port_h8_tx_error real
@attribute port_h8_tx_pkt real
@attribute port_h9_rx_bytes real
@attribute port_h9_rx_crc_err real
@attribute port_h9_rx_drop real
@attribute port_h9_rx_error real
@attribute port_h9_rx_frame_err real
@attribute port_h9_rx_over_err real
@attribute port_h9_rx_pkt real
@attribute port_h9_tx_bytes real
@attribute port_h9_tx_drop real
@attribute port_h9_tx_error real
@attribute port_h9_tx_pkt real
@attribute port_h_s_4_rx_bytes real
@attribute port_h_s_4_rx_crc_err real
@attribute port_h_s_4_rx_drop real
@attribute port_h_s_4_rx_error real
@attribute port_h_s_4_rx_frame_err real
@attribute port_h_s_4_rx_over_err real
@attribute port_h_s_4_rx_pkt real
@attribute port_h_s_4_tx_bytes real
@attribute port_h_s_4_tx_drop real
@attribute port_h_s_4_tx_error real
@attribute port_h_s_4_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0,1}
@data
12678,3,173,6976,2,86,4812,2,64,3544,1,32,28132,5,115,6739,6,81,0,1,0,42,1,1,95910,0,0,0,0,0,620,45844,0,0,345,10283,0,0,0,0,0,138,86659,0,0,510,5442,0,0,0,0,0,58,42734,0,0,381,12572,0,0,0,0,0,171,145335,0,0,471,115443,0,0,0,0,0,59,42213,0,0,386,0,0,6,0,2,0,0,"0"
32926,1,212,9085,4,116,176901,4,171,11398,5,138,0,0,69,8367,0,99,4443,13,62,95270,9,39,213132,0,0,0,0,0,675,144394,0,0,468,9839,0,0,0,0,0,128,70960,0,0,331,12279,0,0,0,0,0,152,184101,0,0,261,10804,0,0,0,0,0,139,64046,0,0,250,147866,0,0,0,0,0,85,45518,0,0,238,0,0,5,0,1,0,0,"0"
0,0,199,7634,0,90,0,0,0,0,0,0,8388,0,122,8189,0,98,0,0,0,0,0,0,182592,0,0,0,0,0,640,146176,0,0,423,9489,0,0,0,0,0,123,94023,0,0,346,5792,0,0,0,0,0,76,115455,0,0,224,12495,0,0,0,0,0,170,121182,0,0,292,154039,0,0,0,0,0,77,64030,0,0,220,0,0,6,0,1,0,0,"0"
27811,3,222,8949,5,113,0,0,40,2036,0,16,8776,1,128,8138,1,96,0,0,0,0,0,0,144197,0,0,0,0,0,607,70767,0,0,396,11348,0,0,0,0,0,154,78426,0,0,351,4308,0,0,0,0,0,53,58668,0,0,199,11426,0,0,0,0,0,149,73940,0,0,271,42280,0,0,0,0,0,21,36317,0,0,157,0,0,6,0,1,0,0,"0"
2915,0,196,8015,0,96,4725,0,63,3100,0,32,8582,0,124,8355,0,100,84,1,2,42,1,1,224135,0,0,0,0,0,607,130136,0,0,438,9559,0,0,0,0,0,123,37650,0,0,284,4549,0,0,0,0,0,56,31310,0,0,141,14264,0,0,0,0,0,189,180637,0,0,253,121240,0,0,0,0,0,62,8961,0,0,146,0,0,5,0,1,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,54360,3,160,9190,5,112,0,0,0,0,0,0,216739,0,0,0,0,0,626,51174,0,0,420,10086,0,0,0,0,0,131,60838,0,0,312,4920,0,0,0,0,0,62,57738,0,0,172,14816,0,0,0,0,0,203,142026,0,0,288,20590,0,0,0,0,0,13,23885,0,0,107,0,0,7,0,1,0,0,"0"
15460,1,211,8345,1,103,4725,0,63,3100,0,32,0,0,92,7435,0,86,0,0,0,0,0,0,128415,0,0,0,0,0,576,96792,0,0,404,11624,0,0,0,0,0,157,88398,0,0,305,4744,0,0,0,0,0,60,35668,0,0,137,10793,0,0,0,0,0,139,43960,0,0,200,86462,0,0,0,0,0,44,17438,0,0,141,0,0,6,0,1,0,0,"0"
15122,0,205,8598,0,106,4725,0,63,3100,0,32,8734,0,127,8156,0,96,42,1,1,42,1,1,114042,0,0,0,0,0,557,100006,0,0,382,10718,0,0,0,0,0,142,72023,0,0,301,5135,0,0,0,0,0,68,44730,0,0,145,11848,0,0,0,0,0,156,68189,0,0,218,109108,0,0,0,0,0,54,23532,0,0,148,0,0,6,0,1,0,0,"0"
15418,0,210,8381,0,103,4725,0,63,3100,0,32,11678,2,0,9197,6,115,818,4,14,17664,1,4,243993,0,0,0,0,0,672,107179,0,0,468,14783,0,0,0,0,0,200,174222,0,0,378,4729,0,0,0,0,0,60,58796,0,0,171,12678,0,0,0,0,0,172,97906,0,0,254,110458,0,0,0,0,0,53,32956,0,0,190,0,0,7,0,1,0,0,"0"
15143,0,206,8450,0,104,4725,0,63,3100,0,32,3177,1,132,7428,0,83,36,1,1,3028,1,2,88384,0,0,0,0,0,617,167915,0,0,407,10762,0,0,0,0,0,144,101078,0,0,325,3996,0,0,0,0,0,46,45232,0,0,151,11044,0,0,0,0,0,142,61273,0,0,225,185391,0,0,0,0,0,80,49278,0,0,241,0,0,6,0,1,0,0,"0"
