@relation class
@attribute h1_dst_bytes real
@attribute h1_dst_flow real
@attribute h1_dst_pkt real
@attribute h1_src_bytes real
@attribute h1_src_flow real
@attribute h1_src_pkt real
@attribute h2_dst_bytes real
@attribute h2_dst_flow real
@attribute h2_dst_pkt real
@attribute h2_src_bytes real
@attribute h2_src_flow real
@attribute h2_src_pkt real
@attribute h3_dst_bytes real
@attribute h3_dst_flow real
@attribute h3_dst_pkt real
@attribute h3_src_bytes real
@attribute h3_src_flow real
@attribute h3_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_h1_rx_bytes real
@attribute port_h1_rx_crc_err real
@attribute port_h1_rx_drop real
@attribute port_h1_rx_error real
@attribute port_h1_rx_frame_err real
@attribute port_h1_rx_over_err real
@attribute port_h1_rx_pkt real
@attribute port_h1_tx_bytes real
@attribute port_h1_tx_drop real
@attribute port_h1_tx_error real
@attribute port_h1_tx_pkt real
@attribute port_h2_rx_bytes real
@attribute port_h2_rx_crc_err real
@attribute port_h2_rx_drop real
@attribute port_h2_rx_error real
@attribute port_h2_rx_frame_err real
@attribute port_h2_rx_over_err real
@attribute port_h2_rx_pkt real
@attribute port_h2_tx_bytes real
@attribute port_h2_tx_drop real
@attribute port_h2_tx_error real
@attribute port_h2_tx_pkt real
@attribute port_h3_rx_bytes real
@attribute port_h3_rx_crc_err real
@attribute port_h3_rx_drop real
@attribute port_h3_rx_error real
@attribute port_h3_rx_frame_err real
@attribute port_h3_rx_over_err real
@attribute port_h3_rx_pkt real
@attribute port_h3_tx_bytes real
@attribute port_h3_tx_drop real
@attribute port_h3_tx_error real
@attribute port_h3_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0,1}
@data
12780,2,174,6976,1,86,4812,2,64,3544,1,32,6952,2,101,6991,1,83,43120,0,0,0,0,0,516,25834,0,0,289,8160,0,0,0,0,0,101,36725,0,0,396,4953,0,0,0,0,0,50,28757,0,0,286,9251,0,0,0,0,0,114,30897,0,0,323,1,0,0,0,0,6,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8558,0,124,8265,1,99,30748,0,0,0,0,0,421,21615,0,0,260,8415,0,0,0,0,0,104,18210,0,0,242,3170,0,0,0,0,0,33,7805,0,0,99,9457,0,0,0,0,0,117,11638,0,0,160,1,0,0,0,0,3,0,"0"
15452,0,210,8374,0,103,4725,0,63,3100,0,32,8388,0,122,7775,0,92,29393,0,0,0,0,0,407,21201,0,0,255,8556,0,0,0,0,0,105,16612,0,0,226,3100,0,0,0,0,0,32,5951,0,0,80,9245,0,0,0,0,0,114,9614,0,0,139,0,0,0,0,0,0,0,"0"
15274,0,208,8451,0,104,4725,0,63,3100,0,32,8734,0,127,8486,1,101,31616,0,0,0,0,0,425,21984,0,0,261,8493,0,0,0,0,0,105,19038,0,0,242,3100,0,0,0,0,0,32,8423,0,0,96,9542,0,0,0,0,0,117,12502,0,0,161,1,0,0,0,0,6,0,"0"
15143,0,206,8344,0,103,4725,0,63,3100,0,32,8624,0,125,8355,0,100,29600,0,0,0,0,0,410,21424,0,0,259,8359,0,0,0,0,0,103,16723,0,0,228,3170,0,0,0,0,0,33,6305,0,0,85,9595,0,0,0,0,0,119,10134,0,0,146,0,0,0,0,0,0,0,"0"
15147,0,206,8555,0,105,4725,0,63,3100,0,32,8734,0,127,8204,0,97,29566,0,0,0,0,0,410,21460,0,0,258,8386,0,0,0,0,0,103,16439,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9674,0,0,0,0,0,119,10026,0,0,145,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8624,0,125,8421,0,101,29109,0,0,0,0,0,403,21270,0,0,257,8345,0,0,0,0,0,103,16092,0,0,219,3100,0,0,0,0,0,32,5687,0,0,76,9525,0,0,0,0,0,118,9586,0,0,138,0,0,0,0,0,0,0,"0"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,8734,0,127,8222,0,97,29652,0,0,0,0,0,411,21452,0,0,258,8374,0,0,0,0,0,103,16525,0,0,225,3100,0,0,0,0,0,32,6107,0,0,82,9608,0,0,0,0,0,118,10116,0,0,146,0,0,0,0,0,0,0,"0"
15293,0,208,8451,0,104,4725,0,63,3100,0,32,8624,0,125,8271,0,99,30170,0,0,0,0,0,412,21736,0,0,261,8521,0,0,0,0,0,105,17413,0,0,230,3170,0,0,0,0,0,33,6845,0,0,85,9459,0,0,0,0,0,117,10814,0,0,148,1,0,0,0,0,3,0,"0"
15433,0,210,8344,0,103,4725,0,63,3100,0,32,8662,0,126,8222,0,97,29219,0,0,0,0,0,405,21290,0,0,256,8344,0,0,0,0,0,103,16234,0,0,221,3100,0,0,0,0,0,32,5831,0,0,78,9546,0,0,0,0,0,117,9698,0,0,140,0,0,0,0,0,0,0,"0"
